year,state,county_name,poverty,median_income
2004,US,United States,37039804,44334
2004,AL,Alabama,717483,37062
2004,AL,Autauga County,5627,45379
2004,AL,Baldwin County,16089,42227
2004,AL,Barbour County,6109,26495
2004,AL,Bibb County,3476,34055
2004,AL,Blount County,6844,38643
2004,AL,Bullock County,2887,20485
2004,AL,Butler County,4310,27244
2004,AL,Calhoun County,18663,34813
2004,AL,Chambers County,6030,30573
2004,AL,Cherokee County,3914,33564
2004,AL,Chilton County,6137,35507
2004,AL,Choctaw County,2968,27690
2004,AL,Clarke County,5633,28776
2004,AL,Clay County,1913,31194
2004,AL,Cleburne County,2116,34128
2004,AL,Coffee County,6374,37066
2004,AL,Colbert County,7963,34575
2004,AL,Conecuh County,3044,24334
2004,AL,Coosa County,1553,30173
2004,AL,Covington County,6834,29237
2004,AL,Crenshaw County,2527,28909
2004,AL,Cullman County,10883,35150
2004,AL,Dale County,7884,34065
2004,AL,Dallas County,12053,24949
2004,AL,DeKalb County,10523,32286
2004,AL,Elmore County,8516,43645
2004,AL,Escambia County,7243,29330
2004,AL,Etowah County,16432,32727
2004,AL,Fayette County,3133,30595
2004,AL,Franklin County,5427,29234
2004,AL,Geneva County,4631,28787
2004,AL,Greene County,2544,22439
2004,AL,Hale County,3770,26841
2004,AL,Henry County,2825,32441
2004,AL,Houston County,14749,36616
2004,AL,Jackson County,8161,33733
2004,AL,Jefferson County,99413,38520
2004,AL,Lamar County,2492,29337
2004,AL,Lauderdale County,13988,35166
2004,AL,Lawrence County,5067,34998
2004,AL,Lee County,19031,34660
2004,AL,Limestone County,8657,41830
2004,AL,Lowndes County,3332,24967
2004,AL,Macon County,5786,23378
2004,AL,Madison County,34058,49441
2004,AL,Marengo County,4637,29138
2004,AL,Marion County,5237,28781
2004,AL,Marshall County,13378,34855
2004,AL,Mobile County,79110,33191
2004,AL,Monroe County,4366,30228
2004,AL,Montgomery County,40905,35680
2004,AL,Morgan County,15741,40978
2004,AL,Perry County,3285,21640
2004,AL,Pickens County,4161,27737
2004,AL,Pike County,6155,28077
2004,AL,Randolph County,3575,30973
2004,AL,Russell County,9455,29680
2004,AL,St. Clair County,9264,41086
2004,AL,Shelby County,11854,61972
2004,AL,Sumter County,3858,21189
2004,AL,Talladega County,13778,34418
2004,AL,Tallapoosa County,6763,31464
2004,AL,Tuscaloosa County,27862,36598
2004,AL,Walker County,11206,32634
2004,AL,Washington County,3214,32147
2004,AL,Wilcox County,3904,19682
